Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
97.8,5.8,500,0,3.04936E-005,1
74.4,36.8,500,0,3.06925E-005,1
65,35,500,0,0.000030855,1
94.2,4.8,500,0,0.000031472,1
92.8,8.6,500,0,3.15171E-005,1
91.8,28.2,500,0,3.15987E-005,1
93.4,28.2,500,0,3.15987E-005,1
67.8,37.6,500,0,0.000031605,1
91.8,24.6,500,0,0.000031719,1
93.4,24.6,500,0,0.000031719,1
64.8,33.4,500,0,3.18082E-005,1
69.2,33.4,500,0,3.18082E-005,1
72.6,34.4,500,0,3.19698E-005,1
69.8,34,500,0,3.20181E-005,1
65.4,35.4,500,0,3.21206E-005,1
97.2,2.2,500,0,3.21617E-005,1
97,2.8,500,0,3.22174E-005,1
74.2,35.6,500,0,3.23093E-005,1
67.4,36.8,500,0,3.23315E-005,1
97.2,4.8,500,0,3.23656E-005,1
93.4,5.6,500,0,3.26069E-005,1
74.4,38.6,500,0,3.26103E-005,1
65.2,32.8,500,0,3.26824E-005,1
68.8,32.8,500,0,3.26824E-005,1
94.6,4.6,500,0,3.28555E-005,1
66.2,35.8,500,0,3.30564E-005,1
97,7.6,500,0,3.30916E-005,1
91.4,24.8,500,0,3.33531E-005,1
93.8,24.8,500,0,3.33531E-005,1
66.2,32.2,500,0,3.34054E-005,1
67.8,32.2,500,0,3.34054E-005,1
64.8,34.6,500,0,3.39888E-005,1
91.4,28,500,0,3.42687E-005,1
93.8,28,500,0,3.42687E-005,1
72,34.2,500,0,3.45247E-005,1
97,4.2,500,0,3.46311E-005,1
96.4,8.6,500,0,3.46409E-005,1
69.4,34,500,0,3.46922E-005,1
74.4,36.2,500,0,3.48543E-005,1
100.6,7.8,500,0,0.000034881,1
97.2,7.2,500,0,3.52329E-005,1
68.6,38.8,500,0,3.53592E-005,1
65.2,35.2,500,0,3.53838E-005,1
73.4,34.8,500,0,3.58372E-005,1
68.4,38.4,500,0,3.62045E-005,1
74.2,38.2,500,0,3.63933E-005,1
74.4,36.6,500,0,3.66638E-005,1
92.8,7,500,0,0.000036738,1
96.6,8.2,500,0,3.75443E-005,1
73,34.6,500,0,3.77265E-005,1
74.2,40,500,0,0.000038023,1
93.2,6,500,0,3.80312E-005,1
74.4,39.4,500,0,3.80937E-005,1
71.2,34,500,0,3.81437E-005,1
74.4,36.4,500,0,3.82535E-005,1
67.4,36,500,0,3.85951E-005,1
101,2.6,500,0,3.97776E-005,1
67.4,36.6,500,0,3.99447E-005,1
