Longitude,Latitude,nu4_5,Observed Count,Smoothed Rate
66.4,32.2,0.0003,0,0.000428
66.4,32.4,0.0001,0,9.3e-05
66.4,35.2,0.0001,0,4.9e-05
66.4,35.4,0.0001,0,5.6e-05
66.4,35.6,0.0001,0,5e-05
66.6,29.6,0.0001,0,0.000127
66.6,29.8,0.0003,0,0.00052
66.6,30.0,0.001,0,0.001798
66.6,30.2,0.0029,0,0.005049
66.6,30.4,0.0064,0,0.011334
66.6,30.6,0.0113,0,0.020217
66.6,30.8,0.016,0,0.02859
66.6,31.0,0.0179,1,0.032024
66.6,31.2,0.0158,0,0.0284
66.6,31.4,0.0111,0,0.019935
66.6,31.6,0.0062,0,0.011074
66.6,31.8,0.0027,0,0.004867
66.6,32.0,0.0009,0,0.001693
66.6,32.2,0.0003,0,0.000466
66.6,32.4,0.0001,0,0.000102
66.6,34.8,0.0001,0,7.1e-05
66.6,35.0,0.0001,0,0.000128
66.6,35.2,0.0002,0,0.000184
66.6,35.4,0.0002,0,0.000209
