longitude,latitude,nu4_5,Observed Count,Smoothed Rate,ratio
61.7,27.2,0.0021,0,0.0009158,0.43609523809523815
61.7,27.3,0.0027,0,0.0011926,0.4417037037037037
61.7,27.4,0.0033,0,0.0014648,0.4438787878787879
61.7,27.5,0.0039,0,0.0016968,0.4350769230769231
61.7,27.6,0.0042,0,0.0018539,0.4414047619047619
61.7,27.7,0.0043,0,0.0019105,0.4443023255813954
61.7,27.8,0.0042,0,0.0018568,0.44209523809523815
61.7,27.9,0.0039,0,0.0017022,0.4364615384615385
61.7,28.0,0.0033,0,0.0014717,0.44596969696969696
61.8,26.5,0.0001,0,3.96e-05,0.39599999999999996
61.8,26.6,0.0002,0,7.76e-05,0.388
61.8,26.7,0.0003,0,0.0001434,0.478
61.8,26.8,0.0006,0,0.0002501,0.4168333333333334
61.8,26.9,0.0009,0,0.0004114,0.45711111111111113
61.8,27.0,0.0015,0,0.0006383,0.4255333333333333
61.8,27.1,0.0021,0,0.000935,0.44523809523809527
61.8,27.2,0.0029,0,0.0012904,0.44496551724137934
61.8,27.3,0.0038,0,0.0016796,0.442
61.8,27.4,0.0047,0,0.0020619,0.4387021276595745
61.8,27.5,0.0054,0,0.0023873,0.4420925925925926
61.8,27.6,0.0059,0,0.002607,0.441864406779661
61.8,27.7,0.0061,0,0.002685,0.4401639344262295
61.8,27.8,0.0059,0,0.0026082,0.44206779661016954
61.8,27.9,0.0054,0,0.0023895,0.4425
61.8,28.0,0.0047,0,0.0020647,0.4392978723404255
61.9,26.4,0.0001,0,2.57e-05,0.257
61.9,26.5,0.0001,0,5.35e-05,0.5349999999999999
61.9,26.6,0.0002,0,0.0001048,0.524
61.9,26.7,0.0004,0,0.0001938,0.4845
61.9,26.8,0.0008,0,0.0003379,0.42237499999999994
61.9,26.9,0.0013,0,0.0005556,0.42738461538461536
61.9,27.0,0.002,0,0.0008617,0.43084999999999996
61.9,27.1,0.0029,0,0.0012605,0.4346551724137931
61.9,27.2,0.004,0,0.0017389,0.43472500000000003
61.9,27.3,0.0051,0,0.0022626,0.4436470588235294
61.9,27.4,0.0063,0,0.0027779,0.4409365079365079
