YEAR	MONTH	DAY	HH	MM	SS	LAT	LON	DEPTH	DEPTH_ERR	NMAG_TYPE	MAG	MAG_MW	MAG_MW_ERR	SOURCE
1869	1	10	-1	-1	-1	25.5	93	-1	-1	~MS	7.4	7.4	0.2	B1999a
1869	6	9	-1	-1	-1	22.6	88.4	-1	-1	MW	4.2	4.1	-1	JS2004a
1869	7	4	-1	-1	-1	20.2	74.2	-1	-1	MW	3.8	3.7	-1	JS2004a
1869	7	12	-1	-1	-1	20.9	74.8	-1	-1	MW	3.8	3.7	-1	JS2004a
1869	9	1	-1	-1	-1	14.5	80.8	-1	-1	MW	4.2	4.1	-1	JS2004a
1869	12	19	-1	-1	-1	17.9	82.3	-1	-1	MW	3.8	3.7	-1	JS2004a
1870	4	11	-1	-1	-1	30	99	-1	-1	~MS	7.3	7.3	-1	NGDC
1870	10	28	-1	-1	-1	25.8	68.8	-1	-1	MW	4.2	4.1	-1	JS2004a
1870	12	19	-1	-1	-1	17.7	83.4	-1	-1	MW	3.8	3.7	-1	JS2004a
1871	1	1	-1	-1	-1	24.2	72.2	-1	-1	MW	4.2	4.1	-1	JS2004a
1871	1	31	-1	-1	-1	21.2	72.9	-1	-1	MW	3.8	3.7	-1	JS2004a
1871	2	15	-1	-1	-1	22.6	88.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1871	7	27	-1	-1	-1	21.2	72.9	-1	-1	MW	3.3	3.2	-1	JS2004a
1871	9	27	-1	-1	-1	18.3	84	-1	-1	MW	3.3	3.2	-1	JS2004a
1871	12	23	18	-1	-1	37.4	58.4	-1	-1	MS	7.2	7.1	-1	AB2003a
1872	1	6	-1	-1	-1	37.3	58.3	15	-1	~MS	6.3	6.3	-1	NGDC
1872	4	14	-1	-1	-1	21.7	72.2	-1	-1	MW	4.7	4.6	-1	JS2004a
1872	6	1	-1	-1	-1	21.6	72.9	-1	-1	MW	3.3	3.2	-1	JS2004a
1872	7	12	-1	-1	-1	20.9	74.8	-1	-1	MW	3.3	3.2	-1	JS2004a
1872	10	22	-1	-1	-1	21.6	73	-1	-1	MW	3.3	3.2	-1	JS2004a
