# generated_by='OpenQuake engine 3.6.0-git0a9a15a30a', start_date='2019-07-02T14:45:40', checksum=2592108751, kind='mean', investigation_time=1.0
lon,lat,PGA-0.002105,PGA-0.00040397,SA(0.2)-0.002105,SA(0.2)-0.00040397,SA(1.0)-0.002105,SA(1.0)-0.00040397
70.60000,27.60000,1.285871E-01,2.637084E-01,2.298496E-01,4.469092E-01,7.573966E-02,1.671548E-01
70.60000,27.80000,1.322552E-01,2.628873E-01,2.393232E-01,4.543227E-01,8.280218E-02,1.843510E-01
70.80000,20.80000,1.770695E-01,3.926073E-01,2.698341E-01,5.892174E-01,5.634990E-02,1.357224E-01
70.80000,21.00000,1.912132E-01,4.210111E-01,2.891374E-01,6.300393E-01,6.018958E-02,1.452339E-01
70.80000,21.20000,1.985874E-01,4.350364E-01,2.997194E-01,6.505572E-01,6.308915E-02,1.508721E-01
70.80000,21.40000,1.980020E-01,4.326690E-01,3.001922E-01,6.480319E-01,6.491499E-02,1.521576E-01
70.80000,21.60000,1.920799E-01,4.193505E-01,2.941637E-01,6.304520E-01,6.619429E-02,1.511782E-01
70.80000,21.80000,1.850152E-01,4.033650E-01,2.872698E-01,6.100274E-01,6.764172E-02,1.504804E-01
70.80000,22.00000,1.799498E-01,3.909431E-01,2.838446E-01,5.964770E-01,6.967350E-02,1.521125E-01
70.80000,22.20000,1.794628E-01,3.871922E-01,2.873356E-01,5.980436E-01,7.278512E-02,1.577148E-01
70.80000,22.40000,1.864544E-01,4.017219E-01,3.016824E-01,6.278708E-01,7.762123E-02,1.696268E-01
70.80000,22.60000,2.090081E-01,4.483771E-01,3.353074E-01,7.015984E-01,8.522028E-02,1.915251E-01
70.80000,22.80000,2.462163E-01,5.313339E-01,3.877697E-01,8.244336E-01,9.646916E-02,2.262003E-01
70.80000,23.00000,2.897029E-01,6.229287E-01,4.507295E-01,9.622309E-01,1.096332E-01,2.650460E-01
70.80000,23.20000,3.327115E-01,7.089232E-01,5.108849E-01,1.087214E+00,1.228558E-01,3.023690E-01
70.80000,23.40000,3.623779E-01,7.692459E-01,5.539891E-01,1.176064E+00,1.330506E-01,3.305089E-01
70.80000,23.60000,3.732867E-01,7.930129E-01,5.701261E-01,1.211056E+00,1.374554E-01,3.420005E-01
70.80000,23.80000,3.638487E-01,7.766319E-01,5.571074E-01,1.187280E+00,1.353633E-01,3.365789E-01
70.80000,24.00000,3.393426E-01,7.294794E-01,5.227799E-01,1.118895E+00,1.285420E-01,3.175247E-01
70.80000,24.20000,3.080499E-01,6.689740E-01,4.804686E-01,1.031971E+00,1.199015E-01,2.924840E-01
70.80000,25.40000,2.020886E-01,4.635306E-01,3.255874E-01,7.209580E-01,8.447972E-02,1.977907E-01
70.80000,25.60000,1.821952E-01,4.227259E-01,3.018506E-01,6.735513E-01,8.081745E-02,1.886452E-01
70.80000,25.80000,1.784954E-01,4.174145E-01,2.976012E-01,6.676989E-01,7.950711E-02,1.858046E-01
70.80000,26.00000,1.880130E-01,4.415870E-01,3.095305E-01,6.991989E-01,8.043791E-02,1.909105E-01
70.80000,26.20000,1.999282E-01,4.714277E-01,3.249322E-01,7.374726E-01,8.210629E-02,1.989625E-01
70.80000,26.40000,2.060328E-01,4.851647E-01,3.323605E-01,7.569075E-01,8.279216E-02,2.035418E-01
70.80000,26.60000,2.014645E-01,4.751812E-01,3.255218E-01,7.420831E-01,8.136868E-02,2.003147E-01
70.80000,26.80000,1.873057E-01,4.404814E-01,3.051854E-01,6.945693E-01,7.815281E-02,1.897777E-01
