siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5,
1359,76.2,17.6,0.103034,0.141419,0.191692,0.267384,0.326101,0.417704,0.44341,0.473146,0.508183,0.550444,0.603035,0.671417,0.766431,0.914137,1.206065,1.311025,1.454409,1.54999
1360,76.4,17.6,0.102365,0.143567,0.197349,0.277611,0.339466,0.435491,0.462357,0.4934,0.529933,0.573941,0.628632,0.699642,0.798132,0.950877,1.251826,1.35978,1.507016,1.60503
1361,76.6,17.6,0.09655,0.138072,0.192625,0.273765,0.336186,0.432996,0.460071,0.491351,0.528163,0.572511,0.627633,0.699217,0.798515,0.952567,1.256343,1.365371,1.514106,1.613135
1362,76.8,17.6,0.087184,0.127896,0.180551,0.258946,0.319368,0.413262,0.439556,0.469951,0.505743,0.548898,0.602592,0.672397,0.769347,0.920008,1.217759,1.324807,1.47097,1.568349
1363,77,17.6,0.074891,0.112123,0.160462,0.23282,0.288899,0.376555,0.401197,0.42973,0.463386,0.504043,0.554739,0.620833,0.71295,0.856726,1.1427,1.246046,1.387581,1.482132
1364,77.2,17.6,0.064584,0.097853,0.141308,0.206836,0.257945,0.338337,0.361035,0.387363,0.418472,0.456125,0.503174,0.564657,0.650626,0.785374,1.054862,1.152617,1.286815,1.376648
1365,77.4,17.6,0.054183,0.083539,0.122073,0.180561,0.226446,0.299005,0.319573,0.34347,0.371762,0.40607,0.449031,0.505303,0.5842,0.708376,0.958274,1.049322,1.174599,1.258668
1366,77.6,17.6,0.043812,0.069947,0.104328,0.156715,0.197995,0.263563,0.282207,0.3039,0.329626,0.360887,0.400115,0.451619,0.524027,0.638382,0.869934,0.954688,1.071591,1.150202
1367,77.8,17.6,0.037923,0.061935,0.093606,0.142055,0.180379,0.241453,0.258855,0.279121,0.303175,0.332435,0.369202,0.417555,0.485644,0.593353,0.811885,0.891993,1.002531,1.076877
1368,78,17.6,0.027314,0.050133,0.080121,0.12591,0.162145,0.220012,0.236533,0.255789,0.278669,0.306535,0.341598,0.387792,0.453017,0.556593,0.767773,0.845459,0.952905,1.025315
1369,78.2,17.6,0.021556,0.042035,0.071141,0.115283,0.150081,0.205564,0.221398,0.239856,0.261793,0.288513,0.322143,0.366463,0.429071,0.528594,0.731996,0.806926,0.910624,0.980567
1370,78.4,17.6,0.021259,0.039719,0.069559,0.114259,0.149157,0.204369,0.220049,0.238292,0.259925,0.286212,0.319209,0.362562,0.423573,0.520081,0.715761,0.787467,0.886431,0.952994
1371,78.6,17.6,0.021151,0.036859,0.066414,0.110315,0.14437,0.198001,0.213195,0.230855,0.251778,0.27718,0.30904,0.35087,0.409707,0.502737,0.691275,0.760355,0.855732,0.919918
1372,78.8,17.6,0.021884,0.039137,0.06815,0.111208,0.144582,0.197096,0.211963,0.229236,0.249694,0.274518,0.305635,0.346453,0.403804,0.494344,0.677365,0.744266,0.836502,0.8985
1373,79,17.6,0.020059,0.033028,0.060783,0.102159,0.134381,0.185335,0.199817,0.216673,0.23668,0.26102,0.291623,0.331922,0.388812,0.479217,0.664053,0.732239,0.826727,0.890535
1374,79.2,17.6,0.021369,0.03648,0.06413,0.105588,0.137991,0.189332,0.203934,0.220936,0.241115,0.265666,0.296536,0.337168,0.394485,0.485439,0.671056,0.73943,0.834026,0.897796
1375,79.4,17.6,0.023543,0.041333,0.06947,0.111933,0.145252,0.198164,0.213226,0.230765,0.251585,0.276915,0.308759,0.350668,0.40977,0.503501,0.694409,0.764594,0.861604,0.926951
1376,79.6,17.6,0.028428,0.048986,0.078256,0.122618,0.157504,0.212926,0.228697,0.247055,0.26884,0.295334,0.328625,0.372418,0.434143,0.531894,0.730383,0.803237,0.903879,0.971617
1377,79.8,17.6,0.03762,0.0621,0.094166,0.142613,0.180525,0.240374,0.257325,0.277017,0.300332,0.328614,0.364048,0.410482,0.475595,0.578026,0.784029,0.859023,0.962141,1.031275
1378,80,17.6,0.047798,0.074121,0.108424,0.160078,0.200337,0.263652,0.28154,0.3023,0.326849,0.356583,0.393763,0.442386,0.510422,0.617221,0.83126,0.908996,1.015763,1.087289
1379,80.2,17.6,0.06084,0.08964,0.12689,0.182392,0.225233,0.292024,0.310779,0.332485,0.358077,0.388975,0.427482,0.477652,0.547567,0.656713,0.873831,0.952281,1.059761,1.131607
1380,80.4,17.6,0.077442,0.110558,0.152989,0.215323,0.262759,0.335629,0.355868,0.37918,0.406523,0.439344,0.479979,0.532509,0.60498,0.716618,0.934447,1.012068,1.117655,1.187812
1381,80.6,17.6,0.082413,0.114828,0.158198,0.22179,0.270094,0.344145,0.364683,0.388328,0.416045,0.449295,0.490432,0.543564,0.616787,0.729431,0.948789,1.026849,1.132963,1.203432
1382,80.8,17.6,0.077888,0.106257,0.148981,0.21297,0.261657,0.336525,0.357344,0.381341,0.40951,0.443358,0.485319,0.539652,0.614772,0.730834,0.958418,1.039865,1.150943,1.224922
1383,81,17.6,0.071561,0.098432,0.136052,0.200328,0.249445,0.325343,0.346525,0.370977,0.399724,0.434324,0.477292,0.533049,0.610342,0.730124,0.965889,1.050437,1.165771,1.242568
1384,81.2,17.6,0.048418,0.069043,0.097531,0.155526,0.200053,0.269433,0.288951,0.311573,0.338297,0.37064,0.411063,0.46391,0.537865,0.654073,0.888008,0.973277,1.090614,1.169349
1385,81.4,17.6,0.036429,0.05422,0.077807,0.135581,0.179733,0.248383,0.267681,0.290045,0.316463,0.348439,0.388423,0.440744,0.514054,0.629434,0.862114,0.947097,1.064184,1.142844
1386,81.6,17.6,0.027093,0.042429,0.062768,0.117648,0.160564,0.227075,0.24575,0.267386,0.29294,0.323869,0.362551,0.413201,0.484285,0.596497,0.823787,0.907127,1.022266,1.099804
1387,81.8,17.6,0.022804,0.036854,0.055409,0.107065,0.148228,0.211697,0.229468,0.250036,0.274305,0.303652,0.340321,0.388292,0.455559,0.561671,0.776766,0.855704,0.964783,1.038261
1388,82,17.6,0.01883,0.031671,0.048553,0.095877,0.1348,0.194617,0.211336,0.230678,0.253489,0.28106,0.315499,0.360539,0.423687,0.523322,0.725399,0.799649,0.902352,0.971586
1389,82.2,17.6,0.016792,0.029109,0.045181,0.087153,0.1229,0.177758,0.193079,0.2108,0.231694,0.256944,0.288471,0.329689,0.387444,0.478524,0.66317,0.730949,0.824685,0.887902
1390,82.4,17.6,0.015244,0.027574,0.04352,0.079571,0.111719,0.161114,0.174923,0.190901,0.209751,0.232544,0.261028,0.298296,0.350554,0.433003,0.600327,0.661767,0.746704,0.803965
1391,82.6,17.6,0.012183,0.024463,0.040231,0.070779,0.099277,0.143205,0.155514,0.16977,0.186607,0.206994,0.232511,0.265966,0.313003,0.387455,0.539236,0.595198,0.672724,0.725072
1392,82.8,17.6,0.008776,0.021187,0.036994,0.066103,0.092264,0.132426,0.143645,0.156622,0.171927,0.190424,0.21353,0.243752,0.286129,0.352984,0.488504,0.538228,0.606955,0.653283
1393,83,17.6,0.003986,0.015802,0.031524,0.059683,0.08415,0.121603,0.132045,0.144111,0.158326,0.175488,0.196897,0.224859,0.263996,0.32562,0.450251,0.495885,0.558871,0.601271
1394,83.2,17.6,0.002953,0.012448,0.027922,0.053992,0.07751,0.113301,0.123238,0.134702,0.148181,0.16442,0.184631,0.210956,0.247689,0.305312,0.421313,0.463666,0.522037,0.561277
1395,73.2,17.8,0.221147,0.271791,0.338866,0.440168,0.518443,0.63962,0.673385,0.712304,0.757968,0.812781,0.880599,0.968151,1.088665,1.273652,1.632133,1.759043,1.930949,2.044666
1396,73.4,17.8,0.244226,0.299208,0.371843,0.481227,0.565544,0.695736,0.731945,0.773653,0.82255,0.881188,0.953662,1.0471,1.1755,1.372149,1.752088,1.886264,2.067688,2.187508
1397,73.6,17.8,0.259315,0.317219,0.393607,0.508477,0.596924,0.733334,0.771249,0.814909,0.866079,0.927418,1.003197,1.100859,1.235004,1.440368,1.836987,1.976998,2.16629,2.291297
1398,73.8,17.8,0.267536,0.327714,0.407009,0.52608,0.617631,0.75863,0.797782,0.842845,0.895628,0.95886,1.036919,1.137429,1.275337,1.48615,1.89216,2.035145,2.228181,2.355498
1399,74,17.8,0.262641,0.322448,0.401419,0.52025,0.611761,0.752895,0.792115,0.837269,0.890174,0.953571,1.031858,1.132692,1.271096,1.482738,1.890351,2.033879,2.227635,2.355409
1400,74.2,17.8,0.240183,0.297473,0.373286,0.487695,0.576029,0.712656,0.750701,0.79454,0.845956,0.907638,0.983898,1.082257,1.217494,1.424779,1.82533,1.966731,2.157888,2.284119
1401,74.4,17.8,0.203343,0.254901,0.32356,0.428058,0.509337,0.635879,0.671286,0.712175,0.760241,0.81805,0.889729,0.98249,1.110529,1.307787,1.69211,1.828609,2.01377,2.136429
1402,74.6,17.8,0.144698,0.184473,0.237803,0.319909,0.384588,0.486591,0.515393,0.548791,0.588244,0.635967,0.695537,0.773234,0.881533,1.050551,1.386633,1.507939,1.673876,1.784604
1403,74.8,17.8,0.104967,0.135547,0.176687,0.240515,0.291282,0.372209,0.395235,0.422025,0.453788,0.492371,0.540779,0.604323,0.693622,0.834497,1.119384,1.223671,1.36755,1.464315
1404,75,17.8,0.096608,0.123371,0.159055,0.213821,0.256988,0.325293,0.344642,0.36711,0.393697,0.425916,0.46623,0.518978,0.592832,0.708872,0.942151,1.027137,1.144085,1.222576
1405,75.2,17.8,0.084222,0.108405,0.140594,0.189966,0.228902,0.290592,0.308088,0.328419,0.352493,0.381693,0.418267,0.466185,0.533379,0.639179,0.852793,0.930887,1.038557,1.110944
1406,75.4,17.8,0.081176,0.105642,0.138245,0.188286,0.227743,0.290212,0.307915,0.328476,0.352812,0.382312,0.419237,0.467576,0.535287,0.641711,0.855864,0.933984,1.041555,1.11379
1407,75.6,17.8,0.085748,0.112962,0.149226,0.204783,0.248466,0.317381,0.336852,0.359434,0.386117,0.418402,0.458723,0.511369,0.584874,0.699832,0.929181,1.012252,1.126185,1.202404
1408,75.8,17.8,0.092548,0.123152,0.163836,0.225969,0.274687,0.351294,0.372886,0.397905,0.427435,0.463124,0.507635,0.565651,0.646453,0.772423,1.022508,1.112724,1.236161,1.318553
1409,76,17.8,0.098708,0.133035,0.178394,0.247279,0.301058,0.385345,0.409059,0.43652,0.468912,0.508031,0.556777,0.62024,0.708542,0.846069,1.118703,1.216925,1.351233,1.440857
1410,76.2,17.8,0.107214,0.145828,0.196399,0.272516,0.331519,0.423471,0.449252,0.479061,0.514161,0.556466,0.609064,0.677372,0.772135,0.919139,1.208607,1.312336,1.45377,1.547892
1411,76.4,17.8,0.104419,0.144931,0.19881,0.279222,0.341191,0.437412,0.464339,0.495453,0.532072,0.576186,0.631015,0.702214,0.800993,0.954259,1.2565,1.365005,1.513093,1.611734
