ordinal,branch_path,weight
139,b1m1~b1m4_b2m5_b3m2_b4m3_b5m4_b6m3_b7m3_b9m3_b8m2,3.3333334e-05
140,b1m1~b1m4_b2m5_b3m1_b4m4_b5m4_b6m3_b7m4_b9m1_b8m4,3.3333334e-05
141,b1m1~b1m2_b2m1_b3m1_b4m1_b5m3_b6m1_b7m4_b9m2_b8m2,3.3333334e-05
142,b1m1~b1m2_b2m5_b3m4_b4m4_b5m1_b6m2_b7m2_b9m3_b8m4,3.3333334e-05
143,b1m1~b1m2_b2m2_b3m1_b4m1_b5m2_b6m1_b7m2_b9m2_b8m4,3.3333334e-05
144,b1m1~b1m2_b2m1_b3m3_b4m4_b5m1_b6m2_b7m4_b9m1_b8m3,3.3333334e-05
145,b1m1~b1m1_b2m1_b3m3_b4m4_b5m4_b6m1_b7m3_b9m3_b8m2,3.3333334e-05
146,b1m1~b1m3_b2m3_b3m1_b4m4_b5m1_b6m1_b7m3_b9m4_b8m3,3.3333334e-05
147,b1m1~b1m3_b2m1_b3m1_b4m1_b5m4_b6m2_b7m2_b9m1_b8m3,3.3333334e-05
148,b1m1~b1m1_b2m2_b3m1_b4m1_b5m2_b6m3_b7m3_b9m3_b8m4,3.3333334e-05
149,b1m1~b1m2_b2m1_b3m3_b4m2_b5m1_b6m3_b7m1_b9m1_b8m1,3.3333334e-05
150,b1m1~b1m4_b2m4_b3m1_b4m3_b5m3_b6m2_b7m3_b9m4_b8m4,3.3333334e-05
151,b1m1~b1m1_b2m5_b3m4_b4m1_b5m3_b6m2_b7m4_b9m3_b8m3,3.3333334e-05
152,b1m1~b1m1_b2m3_b3m4_b4m3_b5m2_b6m2_b7m2_b9m3_b8m2,3.3333334e-05
153,b1m1~b1m2_b2m5_b3m4_b4m1_b5m3_b6m2_b7m2_b9m4_b8m4,3.3333334e-05
154,b1m1~b1m4_b2m5_b3m3_b4m4_b5m2_b6m2_b7m4_b9m3_b8m2,3.3333334e-05
155,b1m1~b1m1_b2m5_b3m4_b4m2_b5m2_b6m3_b7m2_b9m4_b8m4,3.3333334e-05
156,b1m1~b1m3_b2m4_b3m2_b4m4_b5m1_b6m1_b7m4_b9m4_b8m4,3.3333334e-05
157,b1m1~b1m4_b2m1_b3m1_b4m4_b5m3_b6m3_b7m3_b9m2_b8m4,3.3333334e-05
158,b1m1~b1m1_b2m5_b3m4_b4m1_b5m1_b6m1_b7m3_b9m1_b8m2,3.3333334e-05
159,b1m1~b1m3_b2m5_b3m3_b4m2_b5m1_b6m1_b7m2_b9m2_b8m3,3.3333334e-05
160,b1m1~b1m2_b2m3_b3m2_b4m2_b5m3_b6m3_b7m2_b9m1_b8m3,3.3333334e-05
161,b1m1~b1m3_b2m3_b3m3_b4m3_b5m2_b6m2_b7m1_b9m1_b8m4,3.3333334e-05
162,b1m1~b1m3_b2m3_b3m3_b4m3_b5m3_b6m3_b7m4_b9m1_b8m1,3.3333334e-05
163,b1m1~b1m3_b2m1_b3m3_b4m4_b5m2_b6m3_b7m2_b9m2_b8m4,3.3333334e-05
164,b1m1~b1m1_b2m2_b3m4_b4m1_b5m4_b6m2_b7m3_b9m4_b8m2,3.3333334e-05
165,b1m1~b1m4_b2m2_b3m3_b4m4_b5m2_b6m1_b7m3_b9m1_b8m4,3.3333334e-05
166,b1m1~b1m2_b2m2_b3m2_b4m3_b5m3_b6m2_b7m4_b9m1_b8m3,3.3333334e-05
167,b1m1~b1m1_b2m4_b3m3_b4m4_b5m3_b6m3_b7m1_b9m4_b8m3,3.3333334e-05
168,b1m1~b1m1_b2m1_b3m4_b4m2_b5m1_b6m1_b7m3_b9m2_b8m1,3.3333334e-05
169,b1m1~b1m3_b2m2_b3m4_b4m2_b5m1_b6m2_b7m1_b9m1_b8m2,3.3333334e-05
170,b1m1~b1m3_b2m4_b3m3_b4m1_b5m4_b6m1_b7m4_b9m2_b8m3,3.3333334e-05
171,b1m1~b1m1_b2m1_b3m2_b4m2_b5m2_b6m1_b7m3_b9m4_b8m1,3.3333334e-05
172,b1m1~b1m3_b2m1_b3m1_b4m4_b5m4_b6m2_b7m2_b9m3_b8m4,3.3333334e-05
173,b1m1~b1m1_b2m5_b3m3_b4m1_b5m2_b6m3_b7m3_b9m4_b8m4,3.3333334e-05
174,b1m1~b1m3_b2m3_b3m4_b4m3_b5m2_b6m3_b7m2_b9m4_b8m2,3.3333334e-05
175,b1m1~b1m1_b2m4_b3m2_b4m4_b5m4_b6m1_b7m3_b9m2_b8m1,3.3333334e-05
176,b1m1~b1m3_b2m4_b3m4_b4m2_b5m1_b6m2_b7m1_b9m4_b8m1,3.3333334e-05
177,b1m1~b1m2_b2m3_b3m3_b4m4_b5m4_b6m1_b7m1_b9m2_b8m1,3.3333334e-05
178,b1m1~b1m4_b2m4_b3m3_b4m4_b5m4_b6m1_b7m1_b9m1_b8m3,3.3333334e-05
179,b1m1~b1m1_b2m3_b3m4_b4m1_b5m1_b6m1_b7m1_b9m2_b8m2,3.3333334e-05
180,b1m1~b1m2_b2m2_b3m4_b4m2_b5m1_b6m2_b7m3_b9m4_b8m1,3.3333334e-05
181,b1m1~b1m1_b2m3_b3m2_b4m1_b5m2_b6m1_b7m3_b9m4_b8m4,3.3333334e-05
182,b1m1~b1m4_b2m4_b3m2_b4m4_b5m4_b6m2_b7m4_b9m2_b8m1,3.3333334e-05
183,b1m1~b1m4_b2m3_b3m3_b4m1_b5m3_b6m3_b7m4_b9m4_b8m3,3.3333334e-05
184,b1m1~b1m2_b2m1_b3m1_b4m3_b5m3_b6m1_b7m2_b9m4_b8m4,3.3333334e-05
185,b1m1~b1m3_b2m4_b3m1_b4m4_b5m1_b6m3_b7m2_b9m2_b8m2,3.3333334e-05
186,b1m1~b1m4_b2m2_b3m2_b4m2_b5m3_b6m1_b7m1_b9m3_b8m1,3.3333334e-05
187,b1m1~b1m3_b2m2_b3m1_b4m2_b5m3_b6m2_b7m4_b9m4_b8m3,3.3333334e-05
188,b1m1~b1m3_b2m1_b3m3_b4m2_b5m2_b6m3_b7m4_b9m2_b8m3,3.3333334e-05
189,b1m1~b1m1_b2m5_b3m4_b4m2_b5m2_b6m2_b7m3_b9m4_b8m2,3.3333334e-05
190,b1m1~b1m1_b2m2_b3m4_b4m2_b5m4_b6m1_b7m3_b9m1_b8m1,3.3333334e-05
191,b1m1~b1m4_b2m3_b3m4_b4m4_b5m1_b6m2_b7m2_b9m1_b8m4,3.3333334e-05
192,b1m1~b1m4_b2m4_b3m1_b4m1_b5m1_b6m2_b7m3_b9m2_b8m3,3.3333334e-05
193,b1m1~b1m3_b2m3_b3m3_b4m3_b5m3_b6m2_b7m1_b9m2_b8m3,3.3333334e-05
194,b1m1~b1m2_b2m2_b3m4_b4m1_b5m2_b6m3_b7m4_b9m2_b8m4,3.3333334e-05
195,b1m1~b1m2_b2m2_b3m4_b4m4_b5m3_b6m3_b7m4_b9m4_b8m2,3.3333334e-05
196,b1m1~b1m3_b2m5_b3m3_b4m1_b5m2_b6m1_b7m3_b9m3_b8m3,3.3333334e-05
197,b1m1~b1m4_b2m3_b3m4_b4m4_b5m1_b6m1_b7m4_b9m3_b8m2,3.3333334e-05
198,b1m1~b1m4_b2m3_b3m3_b4m4_b5m4_b6m2_b7m2_b9m3_b8m3,3.3333334e-05
199,b1m1~b1m4_b2m1_b3m3_b4m2_b5m3_b6m1_b7m3_b9m4_b8m3,3.3333334e-05
200,b1m1~b1m3_b2m3_b3m4_b4m2_b5m2_b6m3_b7m2_b9m3_b8m2,3.3333334e-05
201,b1m1~b1m1_b2m2_b3m3_b4m3_b5m4_b6m3_b7m1_b9m2_b8m3,3.3333334e-05
202,b1m1~b1m1_b2m4_b3m1_b4m4_b5m3_b6m3_b7m3_b9m3_b8m2,3.3333334e-05
203,b1m1~b1m4_b2m3_b3m4_b4m4_b5m3_b6m1_b7m2_b9m4_b8m1,3.3333334e-05
204,b1m1~b1m3_b2m3_b3m1_b4m3_b5m1_b6m1_b7m3_b9m3_b8m4,3.3333334e-05
205,b1m1~b1m1_b2m1_b3m1_b4m3_b5m4_b6m3_b7m2_b9m2_b8m1,3.3333334e-05
206,b1m1~b1m1_b2m3_b3m1_b4m1_b5m2_b6m3_b7m3_b9m3_b8m2,3.3333334e-05
207,b1m1~b1m3_b2m4_b3m2_b4m1_b5m2_b6m1_b7m4_b9m2_b8m3,3.3333334e-05
208,b1m1~b1m1_b2m1_b3m1_b4m2_b5m3_b6m2_b7m2_b9m3_b8m4,3.3333334e-05
209,b1m1~b1m1_b2m4_b3m1_b4m4_b5m2_b6m3_b7m3_b9m1_b8m1,3.3333334e-05
210,b1m1~b1m3_b2m1_b3m4_b4m4_b5m3_b6m2_b7m1_b9m3_b8m1,3.3333334e-05
211,b1m1~b1m3_b2m4_b3m4_b4m2_b5m2_b6m2_b7m4_b9m3_b8m1,3.3333334e-05
212,b1m1~b1m3_b2m4_b3m1_b4m1_b5m3_b6m2_b7m3_b9m1_b8m2,3.3333334e-05
213,b1m1~b1m1_b2m5_b3m2_b4m4_b5m4_b6m1_b7m1_b9m4_b8m1,3.3333334e-05
214,b1m1~b1m3_b2m5_b3m1_b4m4_b5m4_b6m2_b7m4_b9m1_b8m2,3.3333334e-05
215,b1m1~b1m1_b2m5_b3m3_b4m4_b5m4_b6m3_b7m1_b9m1_b8m3,3.3333334e-05
216,b1m1~b1m2_b2m2_b3m3_b4m1_b5m1_b6m2_b7m3_b9m1_b8m3,3.3333334e-05
