siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5
5239,77.2,26,0.020172,0.030005,0.046252,0.05939,0.081357,0.087994,0.095723,0.104898,0.116057,0.130074,0.148496,0.174417,0.215388,0.29848,0.328909,0.370872,0.399088
5240,77.4,26,0.020366,0.03122,0.048286,0.062058,0.086302,0.093236,0.101311,0.110895,0.122549,0.137185,0.156418,0.183472,0.226213,0.312802,0.344486,0.388148,0.417482
5241,77.6,26,0.020276,0.03151,0.04925,0.065066,0.090588,0.097882,0.106386,0.116493,0.128803,0.144288,0.164674,0.193414,0.238937,0.331505,0.365455,0.412287,0.443773
5242,77.8,26,0.021015,0.032931,0.053202,0.0702,0.097471,0.105274,0.114376,0.125201,0.13839,0.154991,0.176858,0.207702,0.256589,0.355988,0.392414,0.44261,0.476318
5243,78,26,0.023781,0.036913,0.059591,0.077996,0.107481,0.115909,0.125735,0.137412,0.15163,0.169511,0.193042,0.226187,0.278593,0.384585,0.423222,0.476305,0.511863
5244,78.2,26,0.026305,0.040646,0.065601,0.085444,0.117184,0.126244,0.136802,0.149339,0.164596,0.183765,0.208957,0.244382,0.300237,0.412625,0.453444,0.509435,0.546887
5245,78.4,26,0.028687,0.043371,0.066517,0.086953,0.119892,0.129346,0.140386,0.153531,0.169568,0.189779,0.216435,0.254077,0.313743,0.434787,0.479068,0.540063,0.581005
5246,78.6,26,0.030969,0.04601,0.069676,0.090835,0.125544,0.135505,0.14714,0.160991,0.177893,0.199198,0.227303,0.266998,0.329924,0.457674,0.504447,0.568886,0.61214
5247,78.8,26,0.031876,0.046842,0.071459,0.09448,0.131491,0.1421,0.154487,0.169229,0.187211,0.209873,0.239759,0.281962,0.348858,0.484624,0.534292,0.602647,0.648471
5248,79,26,0.031536,0.046115,0.072038,0.096514,0.135804,0.147061,0.160205,0.175848,0.194934,0.218993,0.250739,0.295599,0.366788,0.511379,0.564262,0.637044,0.685856
5249,79.2,26,0.031113,0.045253,0.071721,0.097433,0.13868,0.150501,0.164305,0.180741,0.200805,0.226114,0.259545,0.306853,0.382074,0.535308,0.591533,0.669115,0.721263
5250,79.4,26,0.02979,0.043275,0.07258,0.099551,0.142619,0.154929,0.16929,0.186375,0.207209,0.233467,0.268117,0.3171,0.394902,0.553373,0.61154,0.691795,0.745762
5251,79.6,26,0.029258,0.042257,0.074458,0.102173,0.146164,0.15869,0.173283,0.190615,0.211715,0.23826,0.273211,0.322499,0.400573,0.55915,0.617218,0.697241,0.751006
5252,79.8,26,0.027314,0.039622,0.071082,0.098468,0.14202,0.154443,0.168925,0.186139,0.207118,0.23354,0.268385,0.317623,0.39586,0.555634,0.614394,0.695568,0.750225
5253,80,26,0.026048,0.037737,0.068189,0.094347,0.135992,0.147876,0.161734,0.178211,0.198294,0.223592,0.256961,0.304124,0.379077,0.532222,0.588585,0.666468,0.718915
5254,80.2,26,0.027114,0.038652,0.065459,0.089726,0.128527,0.139628,0.152586,0.168009,0.186828,0.210563,0.241912,0.286293,0.356948,0.501575,0.554883,0.62859,0.678237
5255,80.4,26,0.026492,0.037766,0.062095,0.084151,0.119632,0.129818,0.141722,0.155907,0.173235,0.195119,0.22406,0.265089,0.330526,0.464622,0.514058,0.582436,0.628499
5256,80.6,26,0.026473,0.037689,0.059922,0.080128,0.112833,0.122252,0.133274,0.146421,0.162499,0.182827,0.209739,0.247937,0.308951,0.434234,0.480427,0.544281,0.587279
5257,80.8,26,0.026545,0.037787,0.058849,0.077386,0.107548,0.116256,0.126454,0.138626,0.153522,0.172365,0.197324,0.232762,0.289392,0.405834,0.448844,0.508346,0.548428
5258,81,26,0.027179,0.038487,0.058696,0.076072,0.104447,0.112651,0.122259,0.133732,0.147776,0.165543,0.189074,0.222478,0.275835,0.385494,0.426005,0.482086,0.519898
5259,81.2,26,0.027761,0.040113,0.061142,0.078264,0.106126,0.114158,0.123553,0.134754,0.14844,0.165716,0.18854,0.220838,0.272213,0.377107,0.415664,0.468891,0.504699
5260,81.4,26,0.029606,0.043082,0.064496,0.081854,0.109953,0.118023,0.127446,0.138659,0.152329,0.169539,0.192206,0.22416,0.274736,0.377189,0.414607,0.466079,0.500593
5261,81.6,26,0.030464,0.043977,0.065517,0.083004,0.111332,0.119468,0.12897,0.140275,0.154056,0.171404,0.194247,0.226442,0.277373,0.380429,0.418027,0.469718,0.504363
5262,81.8,26,0.030646,0.044211,0.06592,0.083592,0.112269,0.120513,0.130143,0.141606,0.155583,0.173184,0.19637,0.229064,0.280807,0.385555,0.423778,0.476334,0.511563
5263,82,26,0.031681,0.045419,0.067425,0.08534,0.114395,0.122745,0.132496,0.144099,0.158241,0.176044,0.199485,0.232518,0.284753,0.390321,0.428788,0.481641,0.517046
5264,82.2,26,0.032629,0.046772,0.069364,0.087701,0.117356,0.125862,0.135784,0.14758,0.161943,0.179999,0.203739,0.237138,0.289842,0.396036,0.434646,0.487639,0.523106
5265,82.4,26,0.034157,0.048527,0.071457,0.090049,0.120071,0.128674,0.138705,0.150622,0.165125,0.183346,0.207284,0.24093,0.293951,0.400543,0.439228,0.492272,0.527746
5266,82.6,26,0.035319,0.049975,0.073369,0.092333,0.122942,0.131709,0.14193,0.154071,0.168842,0.187393,0.211757,0.24598,0.299875,0.408043,0.447245,0.500957,0.536852
5267,82.8,26,0.037017,0.051966,0.075782,0.095052,0.126097,0.134978,0.145326,0.157608,0.172543,0.191285,0.215877,0.250383,0.304643,0.413271,0.452569,0.506365,0.54229
5268,83,26,0.035864,0.050761,0.074603,0.093968,0.125289,0.134271,0.144751,0.157208,0.172377,0.191452,0.216537,0.25184,0.307565,0.419831,0.460669,0.516762,0.554338
5269,83.2,26,0.037899,0.053364,0.078069,0.098095,0.130418,0.139675,0.150467,0.163288,0.178889,0.198487,0.224233,0.260413,0.317405,0.431813,0.473317,0.530243,0.568322
5270,83.4,26,0.038037,0.053659,0.078677,0.099,0.131864,0.141286,0.152279,0.165346,0.181256,0.20126,0.227567,0.26459,0.323028,0.440818,0.483722,0.542716,0.582273
5271,83.6,26,0.040942,0.057186,0.083122,0.104128,0.138001,0.147694,0.158992,0.172411,0.188731,0.209227,0.23614,0.273943,0.333454,0.452906,0.496283,0.555822,0.595682
5272,83.8,26,0.041418,0.057874,0.084296,0.10579,0.140573,0.150548,0.162187,0.176022,0.192867,0.214042,0.241878,0.281021,0.342723,0.466805,0.511931,0.573919,0.615445
5273,84,26,0.043467,0.060267,0.087217,0.10912,0.144531,0.15468,0.166518,0.180583,0.197701,0.21921,0.247471,0.287186,0.349734,0.475356,0.521001,0.583673,0.625638
5274,84.2,26,0.045908,0.062933,0.090197,0.11232,0.148029,0.158253,0.170171,0.184325,0.201541,0.223158,0.251538,0.291381,0.354054,0.479669,0.52524,0.587758,0.629588
5275,84.4,26,0.047198,0.064242,0.091576,0.113783,0.149658,0.159935,0.171916,0.186149,0.203466,0.225215,0.253779,0.293901,0.357061,0.48378,0.529785,0.59293,0.635195
5276,84.6,26,0.047298,0.064003,0.090916,0.112855,0.148394,0.158592,0.17049,0.184634,0.201856,0.22351,0.251984,0.29205,0.35528,0.482677,0.529096,0.592952,0.63578
5277,84.8,26,0.050174,0.067139,0.094414,0.116603,0.152479,0.162761,0.17475,0.188995,0.20633,0.22811,0.256731,0.296972,0.360417,0.488103,0.53459,0.598511,0.641368
5278,85,26,0.056977,0.074957,0.103607,0.126732,0.163852,0.174437,0.186753,0.201352,0.21907,0.241263,0.270318,0.310976,0.374658,0.501455,0.547218,0.609828,0.651616
5279,85.2,26,0.060244,0.078923,0.108683,0.132688,0.17118,0.182149,0.194907,0.210024,0.228363,0.251323,0.281362,0.323366,0.389085,0.519814,0.566982,0.631521,0.674601
