longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
94.4,13.6,5.5,95,4.2110507959e-05,0.0040004982561,166,subduction intraslab,1.17939048014,1.01,8.0,13.6N 94.4E 70-180 km depth,13p6N94p4Ez166
94.4,13.8,5.5,95,2.52663047754e-05,0.00240029895366,166,subduction intraslab,0.957541730523,1.01,8.0,13.8N 94.4E 70-180 km depth,13p8N94p4Ez166
94.4,14.0,5.5,95,1.26331523877e-05,0.00120014947683,166,subduction intraslab,0.656511734859,1.01,8.0,14N 94.4E 70-180 km depth,14N94p4Ez166
94.4,14.2,5.5,95,4.2110507959e-06,0.00040004982561,166,subduction intraslab,0.179390480139,1.01,8.0,14.2N 94.4E 70-180 km depth,14p2N94p4Ez166
94.4,18.0,5.5,95,4.2110507959e-06,0.00040004982561,164,subduction intraslab,-0.425609519861,0.9,7.3,18N 94.4E 70-180 km depth,18N94p4Ez164
94.4,18.2,5.5,95,1.26331523877e-05,0.00120014947683,164,subduction intraslab,0.0515117348589,0.9,7.3,18.2N 94.4E 70-180 km depth,18p2N94p4Ez164
94.4,18.4,5.5,95,2.52663047754e-05,0.00240029895366,164,subduction intraslab,0.352541730523,0.9,7.3,18.4N 94.4E 70-180 km depth,18p4N94p4Ez164
94.4,18.6,5.5,95,4.63215587549e-05,0.00440054808171,164,subduction intraslab,0.615783165297,0.9,7.3,18.6N 94.4E 70-180 km depth,18p6N94p4Ez164
94.4,18.8,5.5,95,8.00099651221e-05,0.0076009466866,164,subduction intraslab,0.853144081092,0.9,7.3,18.8N 94.4E 70-180 km depth,18p8N94p4Ez164
94.4,19.0,5.5,95,0.000117909422285,0.0112013951171,164,subduction intraslab,1.02154851148,0.9,7.3,19N 94.4E 70-180 km depth,19N94p4Ez164
94.4,19.2,5.5,95,0.000160019930244,0.0152018933732,164,subduction intraslab,1.15417407676,0.9,7.3,19.2N 94.4E 70-180 km depth,19p2N94p4Ez164
94.4,19.4,5.5,95,0.000197919387407,0.0188023418037,164,subduction intraslab,1.24648833807,0.9,7.3,19.4N 94.4E 70-180 km depth,19p4N94p4Ez164
94.4,19.6,5.5,95,0.00023581884457,0.0224027902342,164,subduction intraslab,1.32257850715,0.9,7.3,19.6N 94.4E 70-180 km depth,19p6N94p4Ez164
94.4,19.8,5.5,95,0.000273718301733,0.0260032386647,164,subduction intraslab,1.38730383678,0.9,7.3,19.8N 94.4E 70-180 km depth,19p8N94p4Ez164
94.4,20.0,5.5,95,0.000311617758896,0.0296036870952,164,subduction intraslab,1.44362219987,0.9,7.3,20N 94.4E 70-180 km depth,20N94p4Ez164
94.4,20.2,5.5,95,0.000366361419243,0.0348043348281,164,subduction intraslab,1.51390973276,0.9,7.3,20.2N 94.4E 70-180 km depth,20p2N94p4Ez164
94.4,20.4,5.5,95,0.000446371384365,0.0424052815147,164,subduction intraslab,1.5996963454,0.9,7.3,20.4N 94.4E 70-180 km depth,20p4N94p4Ez164
94.4,20.6,5.5,95,0.000551647654263,0.052406527155,164,subduction intraslab,1.69166177579,0.9,7.3,20.6N 94.4E 70-180 km depth,20p6N94p4Ez164
94.4,20.8,5.5,95,0.000690612330527,0.0656081714001,164,subduction intraslab,1.78923432819,0.9,7.3,20.8N 94.4E 70-180 km depth,20p8N94p4Ez164
94.4,21.0,5.5,95,0.00084221015918,0.0800099651221,164,subduction intraslab,1.8754204758,0.9,7.3,21N 94.4E 70-180 km depth,21N94p4Ez164
94.4,21.2,5.5,95,0.000968541683057,0.0920114598904,164,subduction intraslab,1.93611831616,0.9,7.3,21.2N 94.4E 70-180 km depth,21p2N94p4Ez164
94.4,21.4,5.5,95,0.001031707445,0.0980122072745,164,subduction intraslab,1.9635565645,0.9,7.3,21.4N 94.4E 70-180 km depth,21p4N94p4Ez164
94.4,21.6,5.5,95,0.00101486324181,0.0964120079721,164,subduction intraslab,1.95640752271,0.9,7.3,21.6N 94.4E 70-180 km depth,21p6N94p4Ez164
94.4,21.8,5.5,95,0.000930642225894,0.0884110114599,164,subduction intraslab,1.91878275382,0.9,7.3,21.8N 94.4E 70-180 km depth,21p8N94p4Ez164
94.4,22.0,5.5,95,0.0008211549052,0.078009715994,163,subduction intraslab,2.7994250915,1.07,8.3,22N 94.4E 70-180 km depth,22N94p4Ez163
94.4,22.2,5.5,95,0.000745355990874,0.070808819133,163,subduction intraslab,2.7573637465,1.07,8.3,22.2N 94.4E 70-180 km depth,22p2N94p4Ez163
94.4,22.4,5.5,95,0.000745355990874,0.070808819133,163,subduction intraslab,2.7573637465,1.07,8.3,22.4N 94.4E 70-180 km depth,22p4N94p4Ez163
94.4,22.6,5.5,95,0.000837999108384,0.0796099152965,163,subduction intraslab,2.80824355655,1.07,8.3,22.6N 94.4E 70-180 km depth,22p6N94p4Ez163
94.4,22.8,5.5,95,0.00103591849579,0.0984122571001,163,subduction intraslab,2.90032558724,1.07,8.3,22.8N 94.4E 70-180 km depth,22p8N94p4Ez163
94.4,23.0,5.5,95,0.0013349031023,0.126815794718,163,subduction intraslab,3.01044974236,1.07,8.3,23N 94.4E 70-180 km depth,23N94p4Ez163
94.4,23.2,5.5,95,0.00171389767393,0.162820279023,163,subduction intraslab,3.11898488936,1.07,8.3,23.2N 94.4E 70-180 km depth,23p2N94p4Ez163
94.4,23.4,5.5,95,0.00212658065193,0.202025161933,163,subduction intraslab,3.21268185826,1.07,8.3,23.4N 94.4E 70-180 km depth,23p4N94p4Ez163
94.4,23.6,5.5,95,0.00250136417276,0.237629596413,163,subduction intraslab,3.28317692512,1.07,8.3,23.6N 94.4E 70-180 km depth,23p6N94p4Ez163
94.4,23.8,5.5,95,0.0027750824745,0.263632835077,163,subduction intraslab,3.32827589473,1.07,8.3,23.8N 94.4E 70-180 km depth,23p8N94p4Ez163
94.4,24.0,5.5,95,0.00290983609997,0.276434429497,163,subduction intraslab,3.34886852751,1.07,8.3,24N 94.4E 70-180 km depth,24N94p4Ez163
94.4,24.2,5.5,95,0.00290141399837,0.275634329846,163,subduction intraslab,3.34760970205,1.07,8.3,24.2N 94.4E 70-180 km depth,24p2N94p4Ez163
94.4,24.4,5.5,95,0.00275823827131,0.262032635775,163,subduction intraslab,3.32563178013,1.07,8.3,24.4N 94.4E 70-180 km depth,24p4N94p4Ez163
94.4,24.6,5.5,95,0.00249715312197,0.237229546587,163,subduction intraslab,3.2824451735,1.07,8.3,24.6N 94.4E 70-180 km depth,24p6N94p4Ez163
94.4,24.8,5.5,95,0.00213500275352,0.202825261584,163,subduction intraslab,3.21439843947,1.07,8.3,24.8N 94.4E 70-180 km depth,24p8N94p4Ez163
94.4,25.0,5.5,95,0.00172231977552,0.163620378675,163,subduction intraslab,3.12111378815,1.07,8.3,25N 94.4E 70-180 km depth,25N94p4Ez163
94.4,25.2,5.5,95,0.00130542574673,0.124015445939,163,subduction intraslab,3.00075217397,1.07,8.3,25.2N 94.4E 70-180 km depth,25p2N94p4Ez163
94.4,25.4,5.5,95,0.000947486429077,0.0900112107623,163,subduction intraslab,2.86157299825,1.07,8.3,25.4N 94.4E 70-180 km depth,25p4N94p4Ez163
94.4,25.6,5.5,95,0.000669557076548,0.063607922272,163,subduction intraslab,2.71078760446,1.07,8.3,25.6N 94.4E 70-180 km depth,25p6N94p4Ez163
94.4,25.8,5.5,95,0.000475848739937,0.045205630294,163,subduction intraslab,2.56246892362,1.07,8.3,25.8N 94.4E 70-180 km depth,25p8N94p4Ez163
94.4,26.0,5.5,95,0.000341095114468,0.0324040358744,162,subduction intraslab,1.86787549902,0.97,7.3,26N 94.4E 70-180 km depth,26N94p4Ez162
94.4,26.2,5.5,95,0.000244240946162,0.0232028898854,162,subduction intraslab,1.7228184737,0.97,7.3,26.2N 94.4E 70-180 km depth,26p2N94p4Ez162
