longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,hypo_depth,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
67,26,0.0069,5.5,106,6.5094e-05,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.2035,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,26N 67E 0-25 km depth M5.5,26N_67E_L1_M5p5,-4.28,-4.7,-5.68
67,27,0.0146,5.5,106,0.00013774,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.529,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,27N 67E 0-25 km depth M5.5,27N_67E_L1_M5p5,-3.9,-4.36,-5.34
67,28,0.0151,5.5,106,0.00014245,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.5437,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,28N 67E 0-25 km depth M5.5,28N_67E_L1_M5p5,-3.89,-4.35,-5.33
67,29,0.0346,5.5,106,0.00032642,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.9038,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,29N 67E 0-25 km depth M5.5,29N_67E_L1_M5p5,-3.5,-3.98,-4.96
67,30,0.0443,5.5,106,0.00041792,0,15,15,25,0,15,active shallow crust strike-slip reverse,2.0111,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,30N 67E 0-25 km depth M5.5,30N_67E_L1_M5p5,-3.39,-3.87,-4.85
67,31,0.0185,5.5,106,0.00017453,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.75187,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,31N 67E 0-25 km depth M5.5,31N_67E_L1_M5p5,-4.02,-4.25,-5.07
67,32,0.008,5.5,106,7.5472e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.38778,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,32N 67E 0-25 km depth M5.5,32N_67E_L1_M5p5,,-4.76,-5.58
67,33,0.0058,5.5,106,5.4717e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.24812,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,33N 67E 0-25 km depth M5.5,33N_67E_L1_M5p5,,-5.03,-5.85
67,34,0.0012,5.5,106,1.1321e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,-0.43612,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,34N 67E 0-25 km depth M5.5,34N_67E_L1_M5p5,,,
67,35,0.0058,5.5,106,5.4717e-05,0.37557,8,,25,0,15,active shallow crust strike-slip reverse,0.24812,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,35N 67E 0-25 km depth M5.5,35N_67E_L1_M5p5,,-5.03,-5.85
67,36,0.009,5.5,106,8.4906e-05,37.707,5,,25,0,15,active shallow crust strike-slip reverse,0.93394,0.91,0.08,7.8,0.4,148.0,55,274,2,WC1994,36N 67E 0-25 km depth M5.5,36N_67E_L1_M5p5,-4.25,-4.58,-5.52
68,26,0.0006,5.5,106,5.6604e-06,0,15,15,25,0,15,active shallow crust strike-slip reverse,0.14285,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,26N 68E 0-25 km depth M5.5,26N_68E_L1_M5p5,,-6.29,-7.27
68,27,0.0018,5.5,106,1.6981e-05,0,15,15,25,0,15,active shallow crust strike-slip reverse,0.61997,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,27N 68E 0-25 km depth M5.5,27N_68E_L1_M5p5,-5.36,-5.38,-6.36
68,28,0.0038,5.5,106,3.5849e-05,0,15,15,25,0,15,active shallow crust strike-slip reverse,0.94448,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,28N 68E 0-25 km depth M5.5,28N_68E_L1_M5p5,-4.63,-4.99,-5.97
68,29,0.0248,5.5,106,0.00023396,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.7591,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,29N 68E 0-25 km depth M5.5,29N_68E_L1_M5p5,-3.65,-4.13,-5.11
68,30,0.0582,5.5,106,0.00054906,0,16,16,25,0,15,active shallow crust strike-slip reverse,1.5796,0.88,0.08,8.3,0.4,126.0,18,298,2,WC1994,30N 68E 0-25 km depth M5.5,30N_68E_L1_M5p5,-3.29,-3.71,-4.59
68,31,0.0181,5.5,106,0.00017075,0,16,16,25,0,15,active shallow crust strike-slip reverse,1.0724,0.88,0.08,8.3,0.4,126.0,18,298,2,WC1994,31N 68E 0-25 km depth M5.5,31N_68E_L1_M5p5,-3.88,-4.25,-5.13
68,32,0.0063,5.5,106,5.9434e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.28403,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,32N 68E 0-25 km depth M5.5,32N_68E_L1_M5p5,,-4.95,-5.77
68,33,0.0074,5.5,106,6.9811e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.35393,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,33N 68E 0-25 km depth M5.5,33N_68E_L1_M5p5,,-4.82,-5.64
68,34,0.0036,5.5,106,3.3962e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.040997,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,34N 68E 0-25 km depth M5.5,34N_68E_L1_M5p5,,-5.92,-6.74
68,35,0.0098,5.5,106,9.2453e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.47592,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,35N 68E 0-25 km depth M5.5,35N_68E_L1_M5p5,-4.89,-4.62,-5.44
68,36,0.0218,5.5,106,0.00020566,0,5,5,25,0,15,active shallow crust strike-slip reverse,1.3182,0.91,0.08,7.8,0.4,148.0,55,274,2,WC1994,36N 68E 0-25 km depth M5.5,36N_68E_L1_M5p5,-3.75,-4.16,-5.08
68,37,0.0215,5.5,106,0.00020283,0,5,5,25,0,15,active shallow crust strike-slip reverse,1.3121,0.91,0.08,7.8,0.4,148.0,55,274,2,WC1994,37N 68E 0-25 km depth M5.5,37N_68E_L1_M5p5,-3.76,-4.17,-5.09
68,38,0.0131,5.5,106,0.00012358,0,1,1,25,0,15,active shallow crust strike-slip reverse,1.867,1.05,0.07,8,0.4,30.0,73,202,2,WC1994,38N 68E 0-25 km depth M5.5,38N_68E_L1_M5p5,-3.93,-4.44,-5.49
69,22,0.0002,5.5,106,1.8868e-06,0,66,66,25,0,15,stable shallow crust,-0.99428,0.86,0.11,7,0.3,25.0,83,58,2,WC1994,22N 69E 0-25 km depth M5.5,22N_69E_L1_M5p5,,,
69,23,0.0018,5.5,106,1.6981e-05,0,63,63,25,0,15,stable shallow crust,0.45497,0.95,0.05,8.2,0.4,59.8,64.1,64.9,2,WC1994,23N 69E 0-25 km depth M5.5,23N_69E_L1_M5p5,,-5.43,-6.38
69,24,0.0012,5.5,106,1.1321e-05,0,63,63,25,0,15,stable shallow crust,0.27888,0.95,0.05,8.2,0.4,59.8,64.1,64.9,2,WC1994,24N 69E 0-25 km depth M5.5,24N_69E_L1_M5p5,,-5.75,-6.7
69,25,0.0016,5.5,106,1.5094e-05,0,63,63,25,0,15,stable shallow crust,0.40381,0.95,0.05,8.2,0.4,59.8,64.1,64.9,2,WC1994,25N 69E 0-25 km depth M5.5,25N_69E_L1_M5p5,,-5.51,-6.46
69,26,0.0003,5.5,106,2.8302e-06,0,919,919,25,0,15,stable shallow crust,-1.5882,0.72,0.1,7.2,0.3,123.0,61,290,2,WC1994,26N 69E 0-25 km depth M5.5,26N_69E_L1_M5p5,,,
69,27,0.0001,5.5,106,9.434e-07,0,919,919,25,0,15,stable shallow crust,-2.0653,0.72,0.1,7.2,0.3,123.0,61,290,2,WC1994,27N 69E 0-25 km depth M5.5,27N_69E_L1_M5p5,,,
69,28,0.0008,5.5,106,7.5472e-06,0,919,919,25,0,15,stable shallow crust,-1.1622,0.72,0.1,7.2,0.3,123.0,61,290,2,WC1994,28N 69E 0-25 km depth M5.5,28N_69E_L1_M5p5,,,
69,29,0.0129,5.5,106,0.0001217,0,16,16,25,0,15,active shallow crust strike-slip reverse,0.92528,0.88,0.08,8.3,0.4,126.0,18,298,2,WC1994,29N 69E 0-25 km depth M5.5,29N_69E_L1_M5p5,-4.09,-4.41,-5.29
69,30,0.0394,5.5,106,0.0003717,0,16,16,25,0,15,active shallow crust strike-slip reverse,1.4102,0.88,0.08,8.3,0.4,126.0,18,298,2,WC1994,30N 69E 0-25 km depth M5.5,30N_69E_L1_M5p5,-3.48,-3.89,-4.77
69,31,0.0183,5.5,106,0.00017264,0,16,16,25,0,15,active shallow crust strike-slip reverse,1.0771,0.88,0.08,8.3,0.4,126.0,18,298,2,WC1994,31N 69E 0-25 km depth M5.5,31N_69E_L1_M5p5,-3.88,-4.24,-5.12
69,32,0.0098,5.5,106,9.2453e-05,0,16,16,25,0,15,active shallow crust strike-slip reverse,0.80592,0.88,0.08,8.3,0.4,126.0,18,298,2,WC1994,32N 69E 0-25 km depth M5.5,32N_69E_L1_M5p5,-4.28,-4.55,-5.43
69,33,0.0106,5.5,106,0.0001,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.51,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,33N 69E 0-25 km depth M5.5,33N_69E_L1_M5p5,-4.69,-4.57,-5.39
69,34,0.0201,5.5,106,0.00018962,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.78789,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,34N 69E 0-25 km depth M5.5,34N_69E_L1_M5p5,-3.96,-4.21,-5.03
69,35,0.0175,5.5,106,0.00016509,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.72773,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,35N 69E 0-25 km depth M5.5,35N_69E_L1_M5p5,-4.07,-4.28,-5.1
69,36,0.042,5.5,106,0.00039623,0,5,5,25,0,15,active shallow crust strike-slip reverse,1.6029,0.91,0.08,7.8,0.4,148.0,55,274,2,WC1994,36N 69E 0-25 km depth M5.5,36N_69E_L1_M5p5,-3.43,-3.87,-4.78
69,37,0.0282,5.5,106,0.00026604,0,5,5,25,0,15,active shallow crust strike-slip reverse,1.4299,0.91,0.08,7.8,0.4,148.0,55,274,2,WC1994,37N 69E 0-25 km depth M5.5,37N_69E_L1_M5p5,-3.62,-4.05,-4.97
69,38,0.022,5.5,106,0.00020755,0,1,1,25,0,15,active shallow crust strike-slip reverse,2.0921,1.05,0.07,8,0.4,30.0,73,202,2,WC1994,38N 69E 0-25 km depth M5.5,38N_69E_L1_M5p5,-3.69,-4.21,-5.26
69,39,0.0076,5.5,106,7.1698e-05,0,1,,25,0,15,active shallow crust strike-slip reverse,1.6305,1.05,0.07,8,0.4,30.0,73,202,2,WC1994,39N 69E 0-25 km depth M5.5,39N_69E_L1_M5p5,-4.18,-4.68,-5.73
70,22,0.0013,5.5,106,1.2264e-05,0,66,66,25,0,15,stable shallow crust,-0.18136,0.86,0.11,7,0.3,25.0,83,58,2,WC1994,22N 70E 0-25 km depth M5.5,22N_70E_L1_M5p5,,,
70,23,0.0117,5.5,106,0.00011038,0,63,63,25,0,15,stable shallow crust,1.2679,0.95,0.05,8.2,0.4,59.8,64.1,64.9,2,WC1994,23N 70E 0-25 km depth M5.5,23N_70E_L1_M5p5,-4.03,-4.46,-5.41
70,24,0.0089,5.5,106,8.3962e-05,0,63,63,25,0,15,stable shallow crust,1.1491,0.95,0.05,8.2,0.4,59.8,64.1,64.9,2,WC1994,24N 70E 0-25 km depth M5.5,24N_70E_L1_M5p5,-4.18,-4.58,-5.53
70,25,0.0089,5.5,106,8.3962e-05,0,63,63,25,0,15,stable shallow crust,1.1491,0.95,0.05,8.2,0.4,59.8,64.1,64.9,2,WC1994,25N 70E 0-25 km depth M5.5,25N_70E_L1_M5p5,-4.18,-4.58,-5.53
