longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,nearest,name,id
74.2,34.2,4.5,45,0.0062318872834,0.280434927753,12,active shallow crust strike-slip reverse,1.03461958962,0.72,8.6,0.0,34.2N 74.2E 0-25 km depth,34p2N74p2Ez12
74.2,34.4,4.5,45,0.00624077727952,0.280834977578,12,active shallow crust strike-slip reverse,1.03523868378,0.72,8.6,0.0,34.4N 74.2E 0-25 km depth,34p4N74p2Ez12
74.2,34.6,4.5,45,0.00678306704313,0.305238016941,12,active shallow crust strike-slip reverse,1.07142610961,0.72,8.6,0.0,34.6N 74.2E 0-25 km depth,34p6N74p2Ez12
74.2,34.8,4.5,45,0.0083210363727,0.374446636771,12,active shallow crust strike-slip reverse,1.16017742039,0.72,8.6,0.0,34.8N 74.2E 0-25 km depth,34p8N74p2Ez12
74.2,35.0,4.5,45,0.0110235951946,0.496061783757,12,active shallow crust strike-slip reverse,1.28232325681,0.72,8.6,0.0,35N 74.2E 0-25 km depth,35N74p2Ez12
74.2,35.2,4.5,45,0.0144551336987,0.650481016442,12,active shallow crust strike-slip reverse,1.40002211291,0.72,8.6,0.0,35.2N 74.2E 0-25 km depth,35p2N74p2Ez12
74.2,35.4,4.5,45,0.0176021923269,0.792098654709,12,active shallow crust strike-slip reverse,1.48556676191,0.72,8.6,0.0,35.4N 74.2E 0-25 km depth,35p4N74p2Ez12
74.2,35.6,4.5,45,0.0193179615789,0.869308271051,12,active shallow crust strike-slip reverse,1.52596129797,0.72,8.6,0.0,35.6N 74.2E 0-25 km depth,35p6N74p2Ez12
74.2,35.8,4.5,45,0.0189623617339,0.853306278027,12,active shallow crust strike-slip reverse,1.5178924271,0.72,8.6,0.0,35.8N 74.2E 0-25 km depth,35p8N74p2Ez12
74.2,36.0,4.5,45,0.0167932026795,0.755694120578,12,active shallow crust strike-slip reverse,1.46513352957,0.72,8.6,0.0,36N 74.2E 0-25 km depth,36N74p2Ez12
74.2,36.2,4.5,45,0.0138150539777,0.621677428999,901,active shallow crust strike-slip reverse,2.19035258612,0.9,7.6,0.0,36.2N 74.2E 0-25 km depth,36p2N74p2Ez901
74.2,36.4,4.5,45,0.0110680451752,0.498062032885,901,active shallow crust strike-slip reverse,2.09407092308,0.9,7.6,0.0,36.4N 74.2E 0-25 km depth,36p4N74p2Ez901
74.2,36.6,4.5,45,0.00904112605879,0.406850672646,901,active shallow crust strike-slip reverse,2.00622252458,0.9,7.6,0.0,36.6N 74.2E 0-25 km depth,36p6N74p2Ez901
