longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
66,28,0.0112,5.5,107,0.00010467,0,94.0,94,70,25,subduction interface,1.4098,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,28N 66E 25-70 km depth,28N_66E_2,-4.04,-4.49,-5.47
66,29,0.0068,5.5,107,6.3551e-05,0,94.0,94,70,25,subduction interface,1.1931,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,29N 66E 25-70 km depth,29N_66E_2,-4.29,-4.72,-5.7
66,30,0.0047,5.5,107,4.3925e-05,0,94.0,94,70,25,subduction interface,1.0327,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,30N 66E 25-70 km depth,30N_66E_2,-4.5,-4.89,-5.87
66,31,0.002,5.5,107,1.8692e-05,0,94.0,94,70,25,subduction interface,0.66165,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,31N 66E 25-70 km depth,31N_66E_2,-5.21,-5.33,-6.31
66,32,0.001,5.5,107,9.3458e-06,0,92.0,92,70,25,subduction interface,0.74562,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,32N 66E 25-70 km depth,32N_66E_2,-5.43,-5.64,-6.69
66,33,0.0001,5.5,107,9.3458e-07,0,92.0,92,70,25,subduction interface,-0.25438,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,33N 66E 25-70 km depth,33N_66E_2,,,
66,34,0.0001,5.5,107,9.3458e-07,16.226,92.0,,70,25,subduction interface,-0.25438,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,34N 66E 25-70 km depth,34N_66E_2,,,
66,35,0.0013,5.5,107,1.215e-05,67.546,92.0,,70,25,subduction interface,0.85956,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,35N 66E 25-70 km depth,35N_66E_2,-5.19,-5.51,-6.56
67,24,0.0008,5.5,107,7.4766e-06,0,94.0,94,70,25,subduction interface,0.26371,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,24N 67E 25-70 km depth,24N_67E_2,,-5.96,-6.94
67,25,0.0016,5.5,107,1.4953e-05,0,94.0,94,70,25,subduction interface,0.56474,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,25N 67E 25-70 km depth,25N_67E_2,-5.63,-5.45,-6.43
67,26,0.0038,5.5,107,3.5514e-05,0,94.0,94,70,25,subduction interface,0.9404,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,26N 67E 25-70 km depth,26N_67E_2,-4.64,-4.99,-5.97
67,27,0.005,5.5,107,4.6729e-05,0,94.0,94,70,25,subduction interface,1.0596,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,27N 67E 25-70 km depth,27N_67E_2,-4.47,-4.86,-5.84
67,28,0.0227,5.5,107,0.00021215,0,94.0,94,70,25,subduction interface,1.7166,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,28N 67E 25-70 km depth,28N_67E_2,-3.7,-4.17,-5.15
67,29,0.0241,5.5,107,0.00022523,0,94.0,94,70,25,subduction interface,1.7426,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,29N 67E 25-70 km depth,29N_67E_2,-3.67,-4.15,-5.13
67,30,0.0165,5.5,107,0.00015421,0,94.0,94,70,25,subduction interface,1.5781,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,30N 67E 25-70 km depth,30N_67E_2,-3.85,-4.31,-5.29
67,31,0.0106,5.5,107,9.9065e-05,0,92.0,92,70,25,subduction interface,1.7709,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,31N 67E 25-70 km depth,31N_67E_2,-4.03,-4.54,-5.59
67,32,0.0073,5.5,107,6.8224e-05,0,92.0,92,70,25,subduction interface,1.6089,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,32N 67E 25-70 km depth,32N_67E_2,-4.2,-4.7,-5.75
67,33,0.002,5.5,107,1.8692e-05,0,92.0,92,70,25,subduction interface,1.0466,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,33N 67E 25-70 km depth,33N_67E_2,-4.88,-5.29,-6.34
67,34,0.0007,5.5,107,6.5421e-06,0,92.0,92,70,25,subduction interface,0.59071,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,34N 67E 25-70 km depth,34N_67E_2,-6.04,-5.84,-6.89
67,35,0.0035,5.5,107,3.271e-05,0,92.0,92,70,25,subduction interface,1.2897,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,35N 67E 25-70 km depth,35N_67E_2,-4.57,-5.03,-6.08
67,36,0.0079,5.5,107,7.3832e-05,24.919,88.0,,70,25,subduction interface,2.5782,1.22,0.09,8,0.4,4,73,210,2,StrasserInterface,36N 67E 25-70 km depth,36N_67E_2,-4.14,-4.74,-5.96
68,25,0.0004,5.5,107,3.7383e-06,0,94.0,94,70,25,subduction interface,-0.037324,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,25N 68E 25-70 km depth,25N_68E_2,,,
68,26,0.0031,5.5,107,2.8972e-05,0,94.0,94,70,25,subduction interface,0.85198,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,26N 68E 25-70 km depth,26N_68E_2,-4.79,-5.09,-6.07
68,27,0.0066,5.5,107,6.1682e-05,0,94.0,94,70,25,subduction interface,1.1802,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,27N 68E 25-70 km depth,27N_68E_2,-4.31,-4.73,-5.71
68,28,0.0285,5.5,107,0.00026636,0,94.0,94,70,25,subduction interface,1.8155,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,28N 68E 25-70 km depth,28N_68E_2,-3.6,-4.07,-5.05
68,29,0.0276,5.5,107,0.00025794,0,94.0,94,70,25,subduction interface,1.8015,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,29N 68E 25-70 km depth,29N_68E_2,-3.61,-4.09,-5.07
68,30,0.0135,5.5,107,0.00012617,0,93.0,93,70,25,subduction interface,2.5909,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,30N 68E 25-70 km depth,30N_68E_2,-3.9,-4.49,-5.67
68,31,0.0063,5.5,107,5.8879e-05,0,93.0,93,70,25,subduction interface,2.26,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,31N 68E 25-70 km depth,31N_68E_2,-4.24,-4.82,-6
68,32,0.0061,5.5,107,5.7009e-05,0,92.0,92,70,25,subduction interface,1.5309,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,32N 68E 25-70 km depth,32N_68E_2,-4.29,-4.78,-5.83
68,33,0.0086,5.5,107,8.0374e-05,0,92.0,92,70,25,subduction interface,1.6801,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,33N 68E 25-70 km depth,33N_68E_2,-4.13,-4.63,-5.68
68,34,0.0024,5.5,107,2.243e-05,0,92.0,92,70,25,subduction interface,1.1258,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,34N 68E 25-70 km depth,34N_68E_2,-4.77,-5.21,-6.26
68,35,0.0068,5.5,107,6.3551e-05,0,92.0,92,70,25,subduction interface,1.5781,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,35N 68E 25-70 km depth,35N_68E_2,-4.24,-4.73,-5.78
68,36,0.0149,5.5,107,0.00013925,0,88.0,88,70,25,subduction interface,2.8538,1.22,0.09,8,0.4,4,73,210,2,StrasserInterface,36N 68E 25-70 km depth,36N_68E_2,-3.86,-4.47,-5.69
68,37,0.0194,5.5,107,0.00018131,0,88.0,88,70,25,subduction interface,2.9684,1.22,0.09,8,0.4,4,73,210,2,StrasserInterface,37N 68E 25-70 km depth,37N_68E_2,-3.74,-4.35,-5.57
68,38,0.009,5.5,107,8.4112e-05,0,87.0,87,70,25,subduction interface,2.3049,1.16,0.06,8.1,0.3,166,89,150,2,StrasserInterface,38N 68E 25-70 km depth,38N_68E_2,-4.08,-4.66,-5.82
69,24,0.0007,5.5,107,6.5421e-06,0,932.0,932,70,25,stable shallow crust,-0.069286,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,24N 69E 25-70 km depth,24N_69E_2,,,
