longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
74,16,0.004,4.5,45,8.8889e-05,0,94.0,94,70,25,subduction interface,0.35885,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,16N 74E 25-70 km depth M4.5,16N_74E_L2_M4p5,-4.79,-5.77,-6.75
74,17,0.1036,4.5,45,0.0023022,0,94.0,94,70,25,subduction interface,1.7721,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,17N 74E 25-70 km depth M4.5,17N_74E_L2_M4p5,-3.14,-4.12,-5.1
74,18,0.0294,4.5,45,0.00065333,0,94.0,94,70,25,subduction interface,1.2251,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,18N 74E 25-70 km depth M4.5,18N_74E_L2_M4p5,-3.7,-4.68,-5.66
74,19,0.0037,4.5,45,8.2222e-05,0,94.0,94,70,25,subduction interface,0.32499,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,19N 74E 25-70 km depth M4.5,19N_74E_L2_M4p5,-4.85,-5.83,-6.81
74,20,0.0065,4.5,45,0.00014444,0,94.0,94,70,25,subduction interface,0.5697,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,20N 74E 25-70 km depth M4.5,20N_74E_L2_M4p5,-4.47,-5.45,-6.43
74,23,0.0001,4.5,45,2.2222e-06,0,94.0,94,70,25,subduction interface,-1.2432,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,23N 74E 25-70 km depth M4.5,23N_74E_L2_M4p5,,,
74,24,0.0001,4.5,45,2.2222e-06,0,93.0,93,70,25,subduction interface,-0.34321,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,24N 74E 25-70 km depth M4.5,24N_74E_L2_M4p5,,,
74,27,0.0001,4.5,45,2.2222e-06,0,93.0,93,70,25,subduction interface,-0.34321,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,27N 74E 25-70 km depth M4.5,27N_74E_L2_M4p5,,,
74,28,0.0019,4.5,45,4.2222e-05,0,93.0,93,70,25,subduction interface,0.93554,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,28N 74E 25-70 km depth M4.5,28N_74E_L2_M4p5,-5.02,-6.2,-7.38
75,16,0.0001,4.5,45,2.2222e-06,0,94.0,94,70,25,subduction interface,-1.2432,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,16N 75E 25-70 km depth M4.5,16N_75E_L2_M4p5,,,
75,17,0.0066,4.5,45,0.00014667,0,94.0,94,70,25,subduction interface,0.57633,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,17N 75E 25-70 km depth M4.5,17N_75E_L2_M4p5,-4.46,-5.44,-6.42
75,18,0.0037,4.5,45,8.2222e-05,0,94.0,94,70,25,subduction interface,0.32499,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,18N 75E 25-70 km depth M4.5,18N_75E_L2_M4p5,-4.85,-5.83,-6.81
75,23,0.0046,4.5,45,0.00010222,0,94.0,94,70,25,subduction interface,0.41955,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,23N 75E 25-70 km depth M4.5,23N_75E_L2_M4p5,-4.69,-5.67,-6.65
75,24,0.0082,4.5,45,0.00018222,0,93.0,93,70,25,subduction interface,1.5706,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,24N 75E 25-70 km depth M4.5,24N_75E_L2_M4p5,-4.34,-5.52,-6.7
75,28,0.003,4.5,45,6.6667e-05,0,93.0,93,70,25,subduction interface,1.1339,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,28N 75E 25-70 km depth M4.5,28N_75E_L2_M4p5,-4.8,-5.98,-7.16
75,29,0.003,4.5,45,6.6667e-05,0,93.0,93,70,25,subduction interface,1.1339,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,29N 75E 25-70 km depth M4.5,29N_75E_L2_M4p5,-4.8,-5.98,-7.16
75,40,0.7411,4.5,45,0.016469,0,87.0,,70,25,subduction interface,3.4367,1.16,0.06,8.1,0.3,166,89,150,2,StrasserInterface,40N 75E 25-70 km depth M4.5,40N_75E_L2_M4p5,-2.36,-3.52,-4.68
76,16,0.0002,4.5,45,4.4444e-06,0,94.0,94,70,25,subduction interface,-0.94218,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,16N 76E 25-70 km depth M4.5,16N_76E_L2_M4p5,,,
76,17,0.0055,4.5,45,0.00012222,0,94.0,94,70,25,subduction interface,0.49715,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,17N 76E 25-70 km depth M4.5,17N_76E_L2_M4p5,-4.57,-5.55,-6.53
76,18,0.0059,4.5,45,0.00013111,0,94.0,94,70,25,subduction interface,0.52764,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,18N 76E 25-70 km depth M4.5,18N_76E_L2_M4p5,-4.53,-5.51,-6.49
76,19,0.0005,4.5,45,1.1111e-05,0,94.0,94,70,25,subduction interface,-0.54424,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,19N 76E 25-70 km depth M4.5,19N_76E_L2_M4p5,,,
76,23,0.0028,4.5,45,6.2222e-05,0,94.0,94,70,25,subduction interface,0.20395,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,23N 76E 25-70 km depth M4.5,23N_76E_L2_M4p5,-5.12,-6.1,-7.08
76,24,0.005,4.5,45,0.00011111,0,94.0,94,70,25,subduction interface,0.45576,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,24N 76E 25-70 km depth M4.5,24N_76E_L2_M4p5,-4.63,-5.61,-6.59
76,28,0.0083,4.5,45,0.00018444,0,93.0,93,70,25,subduction interface,1.5759,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,28N 76E 25-70 km depth M4.5,28N_76E_L2_M4p5,-4.34,-5.52,-6.7
76,29,0.0082,4.5,45,0.00018222,0,93.0,93,70,25,subduction interface,1.5706,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,29N 76E 25-70 km depth M4.5,29N_76E_L2_M4p5,-4.34,-5.52,-6.7
76,30,0.0048,4.5,45,0.00010667,0,93.0,93,70,25,subduction interface,1.338,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,30N 76E 25-70 km depth M4.5,30N_76E_L2_M4p5,-4.58,-5.76,-6.94
76,31,0.0302,4.5,45,0.00067111,0,97.0,,70,25,subduction interface,1.0118,0.93,0.12,7.2,0.4,-2,77,196,2,StrasserInterface,31N 76E 25-70 km depth M4.5,31N_76E_L2_M4p5,-3.68,-4.61,-5.84
